Insert Test
Number of Nodes,BST,AVL,Red Black Tree
100,688700,1.1644e+06,877100
500,4.5551e+06,8.4149e+06,6.1568e+06
1000,8.3863e+06,1.36816e+07,1.00064e+07
5000,2.83525e+07,5.8966e+07,4.54689e+07
10000,5.30936e+07,1.10924e+08,8.78205e+07
Delete Test
Number of Nodes,BST,AVL,Red Black Tree
100,6900,14900,10000
500,11300,20600,10600
1000,10200,18900,15800
5000,10000,23800,18700
10000,10300,27000,20800
Find Test
Number of Nodes,BST,AVL,Red Black Tree
100,5100,5400,7200
500,8800,9100,7600
1000,11400,8300,9000
5000,7600,7900,8600
10000,11100,8800,7100
Worst Case Find Test
Number of Nodes,BST,AVL,Red Black Tree
100,22400,4100,5000
500,84500,5800,8100
1000,100200,7300,6200
5000,112500,13000,11900
10000,126700,18800,21400
